"woaii_chapter"|"openalex_work_id"|"title"|"publication_year"|"source_id"|"source_name"|"type"|"cited_by_count"|"reference_count"
"3"|"https://openalex.org/W2883217718"|"The Baltic Sea Atlantis: An integrated end-to-end modelling framework evaluating ecosystem-wide effects of human-induced pressures"|2018|"https://openalex.org/S202381698"|"PloS one"|"article"|31|68
"3"|"https://openalex.org/W2560433521"|"N2 production rates limited by nitrite availability in the Bay of Bengal oxygen minimum zone"|2016|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|170|43
"3"|"https://openalex.org/W2950951810"|"Global Observational Needs and Resources for Marine Biodiversity"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|81|111
"3"|"https://openalex.org/W2898369943"|"A global assessment of atoll island planform changes over the past decades"|2018|"https://openalex.org/S205538080"|"Wiley interdisciplinary reviews. Climate change"|"preprint"|82|62
"3"|"https://openalex.org/W2605898378"|"Ambient Sound at Challenger Deep, Mariana Trench"|2017|"https://openalex.org/S92941125"|"Oceanography"|"article"|15|27
"3"|"https://openalex.org/W2955355329"|"The Global Integrated World Ocean Assessment: Linking Observations to Science and Policy Across Multiple Scales"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|26|47
"3"|"https://openalex.org/W2888401305"|"Enhancing the robustness of a national assessment of the marine environment"|2018|"https://openalex.org/S56205983"|"Marine policy"|"article"|8|58
"3"|"https://openalex.org/W2806621104"|"Variability of the Indonesian Throughflow in the Makassar Strait over the Last 30 ka"|2018|"https://openalex.org/S196734849"|"Scientific reports"|"article"|32|49
"3"|"https://openalex.org/W3033306016"|"The Tropical Atlantic Observing System"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|105|381
"3"|"https://openalex.org/W2963311249"|"Marine Heatwave Hotspots in Coral Reef Environments: Physical Drivers, Ecophysiological Outcomes, and Impact Upon Structural Complexity"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|76|152
"3"|"https://openalex.org/W2097783866"|"Effects of Southern Hemisphere Wind Changes on the Meridional Overturning Circulation in Ocean Models"|2016|"https://openalex.org/S43203325"|"Annual review of marine science"|"article"|73|59
"3"|"https://openalex.org/W2060613340"|"Massive outbreaks of Noctiluca scintillans blooms in the Arabian Sea due to spread of hypoxia"|2014|"https://openalex.org/S64187185"|"Nature communications"|"article"|170|26
"3"|"https://openalex.org/W2732278206"|"Drivers and implications of change in global ocean health over the past five years"|2017|"https://openalex.org/S202381698"|"PloS one"|"article"|41|16
"3"|"https://openalex.org/W2955849003"|"A Sustained Ocean Observing System in the Indian Ocean for Climate Related Scientific Knowledge and Societal Needs"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|58|138
"3"|"https://openalex.org/W2578978428"|"Variable vital rates and the risk of population declines in Adélie penguins from the Antarctic Peninsula region"|2017|"https://openalex.org/S98723585"|"Ecosphere"|"article"|16|56
"3"|"https://openalex.org/W2963436814"|"The second International Indian Ocean Expedition (IIOE-2): Motivating new exploration in a poorly understood ocean basin (volume 2)"|2019|"https://openalex.org/S172051550"|"Deep-sea research. Part 2. Topical studies in oceanography/Deep sea research. Part II, Topical studies in oceanography"|"article"|0|14
"3"|"https://openalex.org/W2940180117"|"Mapping the spatial and temporal variability of the upwelling systems of the Australian south-eastern coast using 14-year of MODIS data"|2019|"https://openalex.org/S141808269"|"Remote sensing of environment"|"article"|30|70
"3"|"https://openalex.org/W2961632683"|"Enhancing the observing capacity for the surface ocean by the use of Volunteer Observing Ship"|2019|"https://openalex.org/S55118949"|"Acta oceanologica Sinica/Acta Oceanologica Sinica"|"article"|7|49
"3"|"https://openalex.org/W2980403707"|"How experimental physiology and ecological niche modelling can inform the management of marine bioinvasions?"|2020|"https://openalex.org/S86852077"|"Science of the total environment"|"article"|11|67
"3"|"https://openalex.org/W2944386985"|"Maritime Continent water cycle regulates low-latitude chokepoint of global ocean circulation"|2019|"https://openalex.org/S64187185"|"Nature communications"|"article"|45|55
"3"|"https://openalex.org/W2915336810"|"Global Carbon Budget 2018"|2018|"https://openalex.org/S106909380"|"Earth system science data"|"article"|1173|148
"3"|"https://openalex.org/W2614629954"|"World Meteorological Organization (WMO)—Concerted International Efforts for Advancing Multi-hazard Early Warning Systems"|2017|"https://openalex.org/S4306463937"|"Springer eBooks"|"book-chapter"|7|12
"3"|"https://openalex.org/W2765976239"|"Role of Pacific trade winds in driving ocean temperatures during the recent slowdown and projections under a wind trend reversal"|2017|"https://openalex.org/S93478396"|"Climate dynamics"|"article"|27|58
"3"|"https://openalex.org/W2796410914"|"Essential ocean variables for global sustained observations of biodiversity and ecosystem changes"|2018|"https://openalex.org/S74970393"|"Global change biology"|"article"|267|168
"3"|"https://openalex.org/W2078185318"|"Aerobic ammonium oxidation in the oxycline and oxygen minimum zone of the eastern tropical South Pacific off northern Chile (∼20°S)"|2009|"https://openalex.org/S172051550"|"Deep-sea research. Part 2. Topical studies in oceanography/Deep sea research. Part II, Topical studies in oceanography"|"article"|39|52
"3"|"https://openalex.org/W2954362426"|"A Global Ocean Observing System (GOOS), Delivered Through Enhanced Collaboration Across Regions, Communities, and New Technologies"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|52|21
"3"|"https://openalex.org/W2920624280"|"Synthesis of Ocean Observations Using Data Assimilation for Operational, Real-Time and Reanalysis Systems: A More Complete Picture of the State of the Ocean"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|69|51
"3"|"https://openalex.org/W2955756905"|"Delivering Sustained, Coordinated, and Integrated Observations of the Southern Ocean for Global Impact"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|71|256
"3"|"https://openalex.org/W2792634037"|"Marine heatwaves off eastern Tasmania: Trends, interannual variability, and predictability"|2018|"https://openalex.org/S9314624"|"Progress in oceanography/Progress in Oceanography"|"article"|82|56
"3"|"https://openalex.org/W2948543962"|"Evolving and Sustaining Ocean Best Practices and Standards for the Next Decade"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|86|44
"3"|"https://openalex.org/W2801051725"|"The Baltic Sea as a time machine for the future coastal ocean"|2018|"https://openalex.org/S2737427234"|"Science advances"|"article"|340|171
"3"|"https://openalex.org/W2081793201"|"Rapid Bottom Melting Widespread near Antarctic Ice Sheet Grounding Lines"|2002|"https://openalex.org/S3880285"|"Science"|"article"|503|28
"3"|"https://openalex.org/W2959585365"|"Common cause for severe droughts in South America and marine heatwaves in the South Atlantic"|2019|"https://openalex.org/S48977010"|"Nature geoscience"|"article"|133|43
"3"|"https://openalex.org/W1972747475"|"Unabated planetary warming and its ocean structure since 2006"|2015|"https://openalex.org/S183584863"|"Nature climate change"|"article"|386|38
"3"|"https://openalex.org/W2912959159"|"Past, present, and future perspectives of environmental DNA (eDNA) metabarcoding: A systematic review in methods, monitoring, and applications of global eDNA"|2019|"https://openalex.org/S2765061010"|"Global ecology and conservation"|"article"|616|205
"3"|"https://openalex.org/W2084869045"|"Multidecadal warming of Antarctic waters"|2014|"https://openalex.org/S3880285"|"Science"|"article"|369|29
"3"|"https://openalex.org/W2221482649"|"Occurrence and characteristics of mesoscale eddies in the tropical northeastern Atlantic Ocean"|2016|"https://openalex.org/S152701455"|"Ocean science"|"article"|74|60
"3"|"https://openalex.org/W2544696101"|"Characterization of “dead-zone” eddies in the eastern tropical North Atlantic"|2016|"https://openalex.org/S13442111"|"Biogeosciences"|"article"|39|66
"3"|"https://openalex.org/W2944648906"|"Citizen-Science for the Future: Advisory Case Studies From Around the Globe"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|17|20
"3"|"https://openalex.org/W2970261762"|"Editorial: Oceanobs'19: An Ocean of Opportunity"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"editorial"|15|6
"3"|"https://openalex.org/W2751730517"|"A risk-based approach to cumulative effect assessments for marine management"|2018|"https://openalex.org/S86852077"|"Science of the total environment"|"article"|139|83
"3"|"https://openalex.org/W2969767558"|"What We Have Learned From the Framework for Ocean Observing: Evolution of the Global Ocean Observing System"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|62|12
"3"|"https://openalex.org/W1979583508"|"Variability in krill biomass links harvesting and climate warming to penguin population changes in Antarctica"|2011|"https://openalex.org/S125754415"|"Proceedings of the National Academy of Sciences of the United States of America"|"article"|354|39
"3"|"https://openalex.org/W2968490756"|"Advancing Observation of Ocean Biogeochemistry, Biology, and Ecosystems With Cost-Effective in situ Sensing Technologies"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|49|158
"3"|"https://openalex.org/W2969334534"|"Using Two-Eyed Seeing in Research With Indigenous People: An Integrative Review"|2019|"https://openalex.org/S4210182004"|"International journal of qualitative methods"|"article"|46|35
"3"|"https://openalex.org/W2914753687"|"How “The Blob” affected groundfish distributions in the Gulf of Alaska"|2019|"https://openalex.org/S143565956"|"Fisheries oceanography"|"article"|36|43
"3"|"https://openalex.org/W2800368903"|"Survey on Communication and Networks for Autonomous Marine Systems"|2018|"https://openalex.org/S91329792"|"Journal of intelligent & robotic systems"|"article"|85|81
"4"|"https://openalex.org/W2801314664"|"The role of corporate social responsibility in creating a Seussian world of seafood sustainability"|2018|"https://openalex.org/S103284624"|"Fish and fisheries"|"article"|48|61
"4"|"https://openalex.org/W2728398294"|"POPULATION AGING AND THE GLOBAL ECONOMY: WEAKENING DEMOGRAPHIC TAILWINDS REDUCE ECONOMIC GROWTH"|2017|"https://openalex.org/S2735557189"|"Innovation in aging"|"article"|0|1
"4"|"https://openalex.org/W2952051864"|"Developing a Social–Ecological–Environmental System Framework to Address Climate Change Impacts in the North Pacific"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|26|52
"4"|"https://openalex.org/W164423294"|"Project Catch: A space based solution to combat illegal, unreported and unregulated fishing"|2012|"https://openalex.org/S179591353"|"Acta astronautica"|"article"|21|18
"4"|"https://openalex.org/W2070579968"|"Technological Development and Fisheries Management"|2014|"https://openalex.org/S4210174131"|"Reviews in fisheries science & aquaculture"|"article"|95|80
"4"|"https://openalex.org/W2955355329"|"The Global Integrated World Ocean Assessment: Linking Observations to Science and Policy Across Multiple Scales"|2019|"https://openalex.org/S2596539584"|"Frontiers in marine science"|"article"|26|47
"4"|"https://openalex.org/W2755258774"|"Reconstructing overfishing: Moving beyond Malthus for effective and equitable solutions"|2017|"https://openalex.org/S103284624"|"Fish and fisheries"|"article"|69|111
"4"|"https://openalex.org/W2999891757"|"Factors influencing the performance of regional fisheries management organizations"|2020|"https://openalex.org/S56205983"|"Marine policy"|"article"|32|47
"4"|"https://openalex.org/W2042519760"|"Criteria for temperature alerts in cod supply chains"|2012|"https://openalex.org/S41302103"|"International journal of physical distribution & logistics management"|"article"|47|15
"4"|"https://openalex.org/W1559382219"|"A scientific alternative to moratoria for rebuilding depleted international tuna stocks"|2015|"https://openalex.org/S103284624"|"Fish and fisheries"|"article"|40|21
"4"|"https://openalex.org/W2036462485"|"Identification of global marine hotspots: sentinels for change and vanguards for adaptation action"|2013|"https://openalex.org/S140103977"|"Reviews in fish biology and fisheries"|"article"|486|51
"4"|"https://openalex.org/W2487451717"|"Spatially explicit global population scenarios consistent with the Shared Socioeconomic Pathways"|2016|"https://openalex.org/S139338987"|"Environmental research letters"|"article"|524|29
"4"|"https://openalex.org/W2752116215"|"Political instability, ethnic fractionalization and economic growth"|2017|"https://openalex.org/S5486590"|"International economics and economic policy"|"article"|22|35
"4"|"https://openalex.org/W2745485346"|"The Expanding Role of Traceability in Seafood: Tools and Key Initiatives"|2017|"https://openalex.org/S23579880"|"Journal of food science"|"article"|59|14
"4"|"https://openalex.org/W2734696605"|"From shared socio-economic pathways (SSPs) to oceanic system pathways (OSPs): Building policy-relevant scenarios for global oceanic ecosystems and fisheries"|2017|"https://openalex.org/S130750583"|"Global environmental change"|"article"|53|49
